tweets,id,date,likes,retweets,clean_tweet,sentiment_negative,sentiment_positive,sentiment_neutral,subjectivity
"This is not the first time mps has been boycotting from the Parliament. NPP think Ghana is for them as Ursala Owusu Ekuful and Nana Addo claims. Ghanaians should not disappoint me, they should round behind me and vote for John Dramani Mahama upcoming election 2020.",1232923929238495238,2020-02-27 07:02:26+00:00,0.0,0.0,first time mps boycotting parliament npp think ghana ursala owusu ekuful nana addo claims ghanaians disappoint round behind vote john dramani mahama upcoming election,0.3136666666666667,0.0,0.803,0.4777777777777778
Former President John Dramani Mahama @JDMahama at the occasion.,1232727903701553152,2020-02-26 18:03:29+00:00,26.0,4.0,former president john dramani mahama USER_MENTION occasion,0.0,0.0,1.0,0.0
"John Dramani Mahama, the ex-president and flagbearer of the National Democratic Congress (NDC) turns 61 years last year. He was born to Emmanuel Adama Mahama, a politician and a rice farmer in Damango in the Savannah Region.#Ghana",1232682050341175296,2020-02-26 15:01:17+00:00,1.0,1.0,john dramani mahama expresident flagbearer national democratic congress ndc turns years last year born emmanuel adama mahama politician rice farmer damango savannah region ghana,0.0,0.0,1.0,0.06666666666666667
#GalamSONA #SONA2020 #TheUselessOne Live scenes from the Bono Region... John Dramani Mahama cares and he wants to hear from you. #SpeakOut,1232578633878904833,2020-02-26 08:10:21+00:00,1.0,0.0,galamsona sona2020 theuselessone live scenes bono region john dramani mahama cares wants hear speakout,0.0,0.35618181818181816,0.812,0.3
President John Dramani Mahama #RescueMission,1232556544824414208,2020-02-26 06:42:34+00:00,1.0,1.0,president john dramani mahama rescuemission,0.0,0.0,1.0,0.0
Photo from Bewin Yakubu Mayonu President John Dramani Mahama #RescueMission,1232553886260637697,2020-02-26 06:32:00+00:00,2.0,0.0,photo bewin yakubu mayonu president john dramani mahama rescuemission,0.0,0.0,1.0,0.0
President John Dramani Mahama #RescueMission,1232542294978551810,2020-02-26 05:45:57+00:00,1.0,1.0,president john dramani mahama rescuemission,0.0,0.0,1.0,0.0
President John Dramani Mahama #RescueMission,1232453017850413056,2020-02-25 23:51:11+00:00,2.0,1.0,president john dramani mahama rescuemission,0.0,0.0,1.0,0.0
President John Dramani Mahama #RescueMission,1232436584521162752,2020-02-25 22:45:53+00:00,0.0,0.0,president john dramani mahama rescuemission,0.0,0.0,1.0,0.0
President John Dramani Mahama #RescueMisson #TrustTheProcess,1232436348507738113,2020-02-25 22:44:57+00:00,0.0,0.0,president john dramani mahama rescuemisson trusttheprocess,0.0,0.0,1.0,0.0
President John Dramani Mahama #RescueMission,1232436250230935553,2020-02-25 22:44:34+00:00,4.0,1.0,president john dramani mahama rescuemission,0.0,0.0,1.0,0.0
President John Dramani Mahama #RescueMission #TrustTheProcess,1232435948429824000,2020-02-25 22:43:22+00:00,0.0,0.0,president john dramani mahama rescuemission trusttheprocess,0.0,0.0,1.0,0.0
President John Dramani Mahama #RescueMission,1232433438734471168,2020-02-25 22:33:23+00:00,4.0,1.0,president john dramani mahama rescuemission,0.0,0.0,1.0,0.0
President John Dramani Mahama #RescueMission,1232432146943365120,2020-02-25 22:28:15+00:00,1.0,1.0,president john dramani mahama rescuemission,0.0,0.0,1.0,0.0
President John Dramani Mahama #RescueMission,1232429799894855680,2020-02-25 22:18:56+00:00,0.0,0.0,president john dramani mahama rescuemission,0.0,0.0,1.0,0.0
