tweets,id,date,source,likes,retweets,clean_tweet,sentiment_negative,sentiment_positive,sentiment_neutral,subjectivity
RT @CabumGh: @Nikkisamonas Nana Akuffo Addo turned 20 yesterday👩🏼‍🦲,1.2491121597719798e+18,Sat Apr 11 23:08:40 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,1.0,USER_MENTION USER_MENTION nana akuffo addo turned,0.0,0.0,1.0,0.0
@Nikkisamonas Nana Akuffo Addo turned 20 yesterday👩🏼‍🦲,1.249111561538433e+18,Sat Apr 11 23:06:18 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",14.0,1.0,USER_MENTION nana akuffo addo turned,0.0,0.0,1.0,0.0
"Akuffo Addo for organize mke dem go carry asem from yonkee oooo

We Dey laf we Dey laf but smefin Dey do Asem oooo 😂😂😂😂😂",1.2490983384539505e+18,Sat Apr 11 22:13:45 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.0,0.0,akuffo addo organize mke dem go carry asem yonkee oo dey laf dey laf smefin dey asem oo,0.0,0.0,1.0,0.0
RT @Kofi_Seven: Is your president guy like ours? Nana Akuffo Addo y3 preman! Papa yi y3 guy!!!!!! 😃❤️🔥🔥🔥🔥🔥 https://t.co/e6eGvLqZhK,1.249097752144941e+18,Sat Apr 11 22:11:25 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.0,17.0,USER_MENTION president guy like nana akuffo addo y3 preman papa yi y3 guy URL,0.0,0.161,0.839,0.0
RT @BigDaddyCee7: #SayNoToVisionlessNaNaAddo Akuffo Addo Stop Hiding in ur Closet n Addressing Us at night n Lying to Us.All ur Promises ar…,1.2490937454857667e+18,Sat Apr 11 21:55:30 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.0,11.0,USER_MENTION saynotovisionlessnanaaddo akuffo addo stop hiding ur closet n addressing us night n lying us.all ur promises,0.333,0.111,0.556,0.0
"@AfoakwaOsikani @yourMPgabbi You guys Kora weytin . Which kind disrespect this , ? How old were you when @JDMahama… https://t.co/13bshXH1ui",1.2490912983862272e+18,Sat Apr 11 21:45:47 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,0.0,USER_MENTION USER_MENTION guys kora weytin kind disrespect old USER_MENTION URL,0.197,0.589,0.563,0.55
@ameyaw112 I beg I didn’t vote .. can I vote for Akuffo Addo before 2020 December elections?,1.2490900240014172e+18,Sat Apr 11 21:40:43 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",3.0,0.0,USER_MENTION beg vote vote akuffo addo december elections,0.0,0.0,1.0,0.0
RT @BigDaddyCee7: No Npp's party Card No Food at this time of a pandemic n Lockdown?.Akuffo Addo n his Officials are Liars,1.249086399816573e+18,Sat Apr 11 21:26:19 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,9.0,USER_MENTION npps party card food time pandemic n addo n officials liars,0.211,0.168,0.621,0.0
@Original_KW Akuffo Addo en water wey niggas dey waste like dat,1.2490842910085612e+18,Sat Apr 11 21:17:56 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.0,0.0,USER_MENTION akuffo addo en water wey niggas dey waste like dat,0.531,0.159,0.51,0.0
@mabr3moaden Nkrumah &gt; Akuffo Addo &gt; Mahama &gt; Obinim &amp; KyiriAboson in that order 😂,1.249083657933017e+18,Sat Apr 11 21:15:25 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.0,0.0,USER_MENTION nkrumah akuffo addo mahama obinim kyiriaboson order,0.0,0.0,1.0,0.0
RT @BigDaddyCee7: No Npp's party Card No Food at this time of a pandemic n Lockdown?.Akuffo Addo n his Officials are Liars,1.249082960806101e+18,Sat Apr 11 21:12:39 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,9.0,USER_MENTION npps party card food time pandemic n addo n officials liars,0.211,0.168,0.621,0.0
No Npp's party Card No Food at this time of a pandemic n Lockdown?.Akuffo Addo n his Officials are Liars https://t.co/UH4zExRrVJ,1.2490821203094405e+18,Sat Apr 11 21:09:18 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",24.0,9.0,npps party card food time pandemic n addo n officials liars URL,0.211,0.168,0.621,0.0
RT @ashong_Gee: Ah. It is like asking asiedu nketiah 'John mahama vs Akuffo Addo',1.249076128221999e+18,Sat Apr 11 20:45:30 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,1.0,USER_MENTION ah like asking asiedu nketiah john mahama vs akuffo addo,0.0,0.2,0.8,0.0
RT @BigDaddyCee7: #SayNoToVisionlessNaNaAddo Akuffo Addo tell ur Officials to stop Helping n Sharing Lockdown Food n Incentives to Only Npp…,1.2490739852346327e+18,Sat Apr 11 20:36:59 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,10.0,USER_MENTION saynotovisionlessnanaaddo akuffo addo tell ur officials stop helping n sharing lockdown food n incentives,0.107,0.356,0.537,0.0
@martin_hughes6 So u make dem take small money bride u? Akuffo Addo dey fight corruption...Be a citizen not a spectator.. Hooki y3n,1.249073575732093e+18,Sat Apr 11 20:35:21 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2.0,0.0,USER_MENTION u make dem take small money bride u akuffo addo dey fight corruption citizen spectator hooki y3n,0.383,0.0,0.867,0.4
RT @BigDaddyCee7: #SayNoToVisionlessNaNaAddo Akuffo Addo Stop Hiding in ur Closet n Addressing Us at night n Lying to Us.All ur Promises ar…,1.2490734133958287e+18,Sat Apr 11 20:34:43 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,11.0,USER_MENTION saynotovisionlessnanaaddo akuffo addo stop hiding ur closet n addressing us night n lying us.all ur promises,0.333,0.111,0.556,0.0
RT @Gordonn__: ah Akuffo Addo ein water you people dey take show we how God created men and women? ei.,1.2490718781630423e+18,Sat Apr 11 20:28:37 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,4.0,USER_MENTION ah akuffo addo ein water people dey take show god created men women ei,0.0,0.24,0.76,0.0
RT @BigDaddyCee7: #4More4Nana Dis Virus outbreak in Ghana has really exposed the Lies n thinking Caps of Akuffo Addo n his Officials n Ghan…,1.2490707280303636e+18,Sat Apr 11 20:24:02 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,9.0,USER_MENTION dis virus outbreak ghana really exposed lies n thinking caps akuffo addo n officials n,0.25,0.2,0.75,0.2
Ah. It is like asking asiedu nketiah 'John mahama vs Akuffo Addo' https://t.co/KH7oj5CVMT,1.249070397527597e+18,Sat Apr 11 20:22:44 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2.0,1.0,ah like asking asiedu nketiah john mahama vs akuffo addo URL,0.0,0.2,0.8,0.0
